City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Lorengau,PG,2022-10-05 01:13:21,-2.0226,147.2712,84.65,73,100,11.27
251,Bathurst,AU,2022-10-05 01:13:22,-33.4166,149.5806,50.97,95,100,1.99
252,Villazon,BO,2022-10-05 01:13:22,-22.0866,-65.5942,49.66,37,4,4.79
253,Wilmington,US,2022-10-05 01:10:44,34.2257,-77.9447,57.88,86,0,1.99
254,Mount Darwin,ZW,2022-10-05 01:13:23,-16.7725,31.5838,65.48,45,3,3.27
255,Kumphawapi,TH,2022-10-05 01:13:23,17.1087,103.0149,82.89,99,13,4.45
256,Lompoc,US,2022-10-05 01:13:24,34.6391,-120.4579,77.14,83,100,11.5
257,Puerto Wilches,CO,2022-10-05 01:13:24,7.3483,-73.896,77.4,92,100,2.15
258,Nushki,PK,2022-10-05 01:13:24,29.5542,66.0215,65.3,13,0,1.16
259,Labuhan,ID,2022-10-05 01:13:25,-6.8844,112.2051,81.5,71,100,12.46
260,Christchurch,NZ,2022-10-05 01:10:39,-43.5333,172.6333,47.41,83,75,9.22
261,Baykit,RU,2022-10-05 01:13:26,61.67,96.37,29.12,84,99,5.26
262,Bhadrachalam,IN,2022-10-05 01:13:26,17.6667,80.8833,75.9,96,100,0.94
263,Taoudenni,ML,2022-10-05 01:13:26,22.6783,-3.9836,93.34,13,0,9.57
264,Vokhma,RU,2022-10-05 01:13:27,58.9303,46.7586,45.27,84,100,8.63
265,Nicolas Bravo,MX,2022-10-05 01:13:27,18.45,-88.9167,75.42,85,71,3.0
266,Lahaina,US,2022-10-05 01:13:28,20.8783,-156.6825,84.2,94,35,10.54
267,Paamiut,GL,2022-10-05 01:13:28,61.994,-49.6678,37.15,97,100,28.34
268,Geraldton,AU,2022-10-05 01:13:29,-28.7667,114.6,63.01,82,100,11.5
269,Vila Velha,BR,2022-10-05 01:10:44,-20.3297,-40.2925,73.35,90,75,15.01
270,Cercany,CZ,2022-10-05 01:13:29,49.8529,14.703,47.37,88,20,6.33
271,Ambon,ID,2022-10-05 01:13:30,-3.6954,128.1814,87.94,66,20,3.44
272,Broome,US,2022-10-05 01:13:30,42.2506,-75.833,51.19,81,100,9.22
273,Mahebourg,MU,2022-10-05 01:12:24,-20.4081,57.7,67.24,74,91,10.65
274,Hualmay,PE,2022-10-05 01:14:31,-11.0964,-77.6139,61.16,79,22,10.74
275,Byron Bay,AU,2022-10-05 01:14:31,-28.65,153.6167,70.95,54,100,8.08
276,Port-Cartier,CA,2022-10-05 01:14:32,50.0334,-66.8654,46.74,94,100,4.07
277,Kulpahar,IN,2022-10-05 01:14:32,25.3167,79.65,75.78,93,100,10.92
278,Navsari,IN,2022-10-05 01:14:32,20.9524,72.9324,77.05,85,91,3.83
279,Eucaliptus,BO,2022-10-05 01:11:13,-17.5833,-67.5167,50.34,25,62,3.98
280,Luganville,VU,2022-10-05 01:14:33,-15.5333,167.1667,81.12,78,46,12.66
281,Lebu,CL,2022-10-05 01:14:33,-37.6167,-73.65,49.68,93,14,5.44
282,Qeshm,IR,2022-10-05 01:14:34,26.9581,56.2719,84.15,74,4,4.94
283,Motygino,RU,2022-10-05 01:14:34,58.1831,94.7592,28.17,87,100,3.42
284,Staszow,PL,2022-10-05 01:14:35,50.5631,21.1659,44.92,97,99,7.05
285,Jamshedpur,IN,2022-10-05 01:13:00,22.8,86.1833,75.85,97,99,2.89
286,Ixtapa,MX,2022-10-05 01:14:35,20.7,-105.2,81.63,78,100,6.91
287,Urumqi,CN,2022-10-05 01:12:02,43.801,87.6005,40.15,56,0,2.24
288,Sabha,LY,2022-10-05 01:14:36,27.0377,14.4283,71.56,43,0,10.92
289,Severo-Kurilsk,RU,2022-10-05 01:14:36,50.6789,156.125,46.13,92,100,20.8
290,Varangaon,IN,2022-10-05 01:14:36,21.0167,75.9,74.55,74,100,3.71
291,Lavrentiya,RU,2022-10-05 01:14:37,65.5833,-171.0,37.85,70,7,7.4
292,Abadan,IR,2022-10-05 01:14:37,30.3392,48.3043,86.14,15,0,6.06
293,Port Lincoln,AU,2022-10-05 01:14:38,-34.7333,135.8667,64.35,73,39,10.98
294,Petropavlovsk-Kamchatskiy,RU,2022-10-05 01:14:38,53.0452,158.6483,46.99,100,100,8.95
